조사연도,응답자ID,응답자키
2021,10121042,P21-002249
2021,10121043,P21-007386
2021,10121044,P21-009240
2021,10121045,P21-004762
2021,10121046,P21-002826
2021,10121047,P21-003356
2021,10121048,P21-005741
2021,10121049,P21-003923
2021,10121050,P21-005867
2021,10121051,P21-007381
2021,10121052,P21-003395
2021,10121053,P21-004387
2021,10121054,P21-005697
2021,10131001,P21-004804
2021,10131002,P21-007643
2021,10131003,P21-001877
2021,10131004,P21-009030
2021,10131005,P21-000314
2021,10131006,P21-008111
2021,10131007,P21-001411
2021,10131008,P21-008864
2021,10131009,P21-008778
2021,10131010,P21-003336
2021,10131011,P21-007639
2021,10131012,P21-004109
2021,10131013,P21-006271
2021,10131014,P21-005942
2021,10131015,P21-003123
2021,10131016,P21-009199
2021,10131017,P21-001294
2021,10131018,P21-006892
2021,10131019,P21-000329
2021,10131020,P21-009311
2021,10131021,P21-008870
2021,10131022,P21-001305
2021,10131023,P21-000153
2021,10131024,P21-007173
2021,10131025,P21-008756
2021,10131026,P21-000681
2021,10131027,P21-007302
2021,10131028,P21-009045
2021,10131029,P21-005265
2021,10131030,P21-000249
2021,10131031,P21-009006
2021,10131032,P21-001822
2021,10131033,P21-001612
2021,10131034,P21-002059
2021,10131035,P21-004290
2021,10131036,P21-008957
2021,10131037,P21-001753
2021,10131038,P21-008070
2021,10131039,P21-002070
2021,10131040,P21-004316
2021,10131041,P21-007426
2021,10131042,P21-008082
2021,10131043,P21-001468
2021,10131044,P21-001995
2021,10131045,P21-007851
2021,10131046,P21-007726
2021,10131047,P21-003366
2021,10131048,P21-002400
2021,10131049,P21-005473
2021,10131050,P21-007249
2021,10131051,P21-009001
2021,10141001,P21-008421
2021,10141002,P21-003882
2021,10141003,P21-006662
2021,10141004,P21-005324
2021,10141005,P21-000935
2021,10141006,P21-004195
2021,10141007,P21-003525
2021,10141008,P21-003777
2021,10141009,P21-004802
2021,10141010,P21-006513
2021,10141011,P21-008648
2021,10141012,P21-001625
2021,10141013,P21-008022
2021,10141014,P21-002198
2021,10141015,P21-001535
2021,10141016,P21-007615
2021,10141017,P21-004043
2021,10141018,P21-007598
2021,10141019,P21-000346
2021,10141020,P21-002001
2021,10141021,P21-008499
2021,10141022,P21-003948
2021,10141023,P21-004472
2021,10141024,P21-008873
2021,10141025,P21-003808
2021,10141026,P21-007489
2021,10141027,P21-004530
2021,10141028,P21-002081
2021,10141029,P21-007306
2021,10141030,P21-006231
2021,10141031,P21-007813
2021,10141032,P21-008404
2021,10141033,P21-001017
2021,10141034,P21-008447
2021,10141035,P21-001113
2021,10141036,P21-002982
2021,10141037,P21-005607
2021,10141038,P21-007778
2021,10141039,P21-001171
2021,10141040,P21-000205
2021,10141041,P21-004004
2021,10151001,P21-006495
2021,10151002,P21-008327
2021,10151003,P21-003344
2021,10151004,P21-003510
2021,10151005,P21-007464
2021,10151006,P21-003901
2021,10151007,P21-006737
2021,10151008,P21-006581
2021,10151009,P21-002207
2021,10151010,P21-008656
2021,10151011,P21-004884
2021,10151012,P21-005009
2021,10151013,P21-004683
2021,10151014,P21-008379
2021,10151015,P21-001732
2021,10151016,P21-008010
2021,10151017,P21-000911
2021,10151018,P21-003449
2021,10151019,P21-008056
