조사명,학교급,조사연도,주기,지역규모코드,지역규모,대분류코드,대분류,소주제코드,소주제,응답주체,indicator_id,지표명,통계유형,시계열비교가능,대표값,대표값유형,응답수,결측수,평균,표준편차,중앙값,백분위25,백분위75,환산100,구인환산100,상위2선지비율,긍정응답률,절사평균,지출자수,지출참여율,지출자평균,지출자중앙값,화면표시,발생건수합계,분모학생수합계,발생률산출학교수
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_08,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,35.24,환산100점,6985,0,2.4097,1.1377,2.0,1.0,3.0,35.24,35.24,17.05,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_08,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,35.47,환산100점,1899,0,2.4186,1.1523,2.0,1.0,3.0,35.47,35.47,17.64,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_08,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,37.62,환산100점,4351,0,2.5047,1.118,2.0,2.0,3.0,37.62,37.62,17.72,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_08,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,37.2,환산100점,822,0,2.4878,1.0955,2.0,2.0,3.0,37.2,37.2,16.3,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_01,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,49.62,환산100점,6985,0,2.9847,1.1092,3.0,2.0,4.0,49.62,49.62,33.82,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_01,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,48.72,환산100점,1899,0,2.9489,1.098,3.0,2.0,4.0,48.72,48.72,31.91,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_01,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,53.5,환산100점,4351,0,3.1402,1.0681,3.0,3.0,4.0,53.5,53.5,37.76,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_01,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,52.13,환산100점,822,0,3.0852,1.0926,3.0,2.0,4.0,52.13,52.13,36.98,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_02,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,48.99,환산100점,6985,0,2.9595,1.1731,3.0,2.0,4.0,48.99,48.99,35.55,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_02,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,48.89,환산100점,1899,0,2.9558,1.1696,3.0,2.0,4.0,48.89,48.89,34.86,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_02,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,48.99,환산100점,4351,0,2.9595,1.1245,3.0,2.0,4.0,48.99,48.99,32.54,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_02,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,47.99,환산100점,822,0,2.9197,1.1388,3.0,2.0,4.0,47.99,47.99,31.87,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_03,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,64.5,환산100점,6985,0,3.5801,1.1553,4.0,3.0,4.0,64.5,64.5,60.69,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_03,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,63.72,환산100점,1899,0,3.5487,1.15,4.0,3.0,4.0,63.72,63.72,58.82,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_03,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,64.51,환산100점,4351,0,3.5806,1.1073,4.0,3.0,4.0,64.51,64.51,59.96,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_03,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,62.59,환산100점,822,0,3.5036,1.1781,4.0,3.0,4.0,62.59,62.59,56.57,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_04,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,52.28,환산100점,6985,0,3.0911,1.1344,3.0,2.0,4.0,52.28,52.28,38.64,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_04,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,51.5,환산100점,1899,0,3.06,1.1238,3.0,2.0,4.0,51.5,51.5,36.44,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_04,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,53.58,환산100점,4351,0,3.1432,1.0958,3.0,2.0,4.0,53.58,53.58,38.66,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0202A,학습전략(정교화),학생,ST_STRATEGY_04,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,52.16,환산100점,822,0,3.0864,1.127,3.0,2.0,4.0,52.16,52.16,37.35,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_05,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,47.26,환산100점,6985,0,2.8905,1.2246,3.0,2.0,4.0,47.26,47.26,32.13,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_05,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,47.78,환산100점,1899,0,2.911,1.2206,3.0,2.0,4.0,47.78,47.78,32.12,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_05,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,50.15,환산100점,4351,0,3.006,1.1614,3.0,2.0,4.0,50.15,50.15,34.27,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_05,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,48.91,환산100점,822,0,2.9562,1.195,3.0,2.0,4.0,48.91,48.91,34.31,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_06,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,54.86,환산100점,6985,0,3.1943,1.2127,3.0,2.0,4.0,54.86,54.86,44.28,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_06,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,55.36,환산100점,1899,0,3.2143,1.2001,3.0,2.0,4.0,55.36,55.36,45.55,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_06,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,56.31,환산100점,4351,0,3.2524,1.1522,3.0,3.0,4.0,56.31,56.31,45.37,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_06,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,57.18,환산100점,822,0,3.2871,1.1826,3.0,3.0,4.0,57.18,57.18,48.78,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_07,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",likert,Y,56.1,환산100점,6985,0,3.2441,1.19,3.0,2.0,4.0,56.1,56.1,45.97,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_07,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",likert,Y,56.04,환산100점,1899,0,3.2417,1.1825,3.0,2.0,4.0,56.04,56.04,44.6,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0202B,학습전략(조직화),학생,ST_STRATEGY_07,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",likert,Y,57.58,환산100점,4351,0,3.3031,1.1299,3.0,3.0,4.0,57.58,57.58,47.64,,,,,,,시계열,,,
