조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드,분모학생수
2021,학부모,10081031,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081033,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081034,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081036,1008,PR_EDU_COST_01,1.0,,2.0,
2021,학부모,10081037,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081038,1008,PR_EDU_COST_01,10.0,,2.0,
2021,학부모,10081041,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081043,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081046,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081047,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081049,1008,PR_EDU_COST_01,5.0,,2.0,
2021,학부모,10091001,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091002,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091003,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091004,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091005,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091006,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091008,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091009,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091010,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091011,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091013,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091015,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091016,1009,PR_EDU_COST_01,70.0,,1.0,
2021,학부모,10091017,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091018,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091019,1009,PR_EDU_COST_01,90.0,,1.0,
2021,학부모,10091020,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091021,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091022,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091023,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091024,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091025,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091026,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091027,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091028,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091029,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091030,1009,PR_EDU_COST_01,3.0,,1.0,
2021,학부모,10091031,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091033,1009,PR_EDU_COST_01,1.0,,1.0,
2021,학부모,10091034,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091035,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091036,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091037,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091038,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091039,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091040,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091041,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091042,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091043,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091044,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091045,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091046,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091047,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091048,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091049,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091050,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091051,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10091052,1009,PR_EDU_COST_01,10.0,,1.0,
2021,학부모,10091053,1009,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101001,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101002,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101003,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101006,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101010,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101012,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101013,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101014,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101015,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101016,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101017,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101018,1010,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10101019,1010,PR_EDU_COST_01,0.0,,1.0,
