indicator_id,조사연도,코드,라벨
ST_CLASS_05,2021,1.0,전혀 그렇지 않다
ST_CLASS_05,2021,2.0,그렇지 않다
ST_CLASS_05,2021,3.0,보통이다
ST_CLASS_05,2021,4.0,그렇다
ST_CLASS_05,2021,5.0,매우 그렇다
ST_CLASS_05,2025,1.0,전혀그렇지않다
ST_CLASS_05,2025,2.0,그렇지않다
ST_CLASS_05,2025,3.0,보통이다
ST_CLASS_05,2025,4.0,그렇다
ST_CLASS_05,2025,5.0,매우그렇다
ST_CLASS_06,2021,1.0,전혀 그렇지 않다
ST_CLASS_06,2021,2.0,그렇지 않다
ST_CLASS_06,2021,3.0,보통이다
ST_CLASS_06,2021,4.0,그렇다
ST_CLASS_06,2021,5.0,매우 그렇다
ST_CLASS_06,2025,1.0,전혀그렇지않다
ST_CLASS_06,2025,2.0,그렇지않다
ST_CLASS_06,2025,3.0,보통이다
ST_CLASS_06,2025,4.0,그렇다
ST_CLASS_06,2025,5.0,매우그렇다
ST_CLASS_07,2021,1.0,전혀 그렇지 않다
ST_CLASS_07,2021,2.0,그렇지 않다
ST_CLASS_07,2021,3.0,보통이다
ST_CLASS_07,2021,4.0,그렇다
ST_CLASS_07,2021,5.0,매우 그렇다
ST_CLASS_07,2025,1.0,전혀그렇지않다
ST_CLASS_07,2025,2.0,그렇지않다
ST_CLASS_07,2025,3.0,보통이다
ST_CLASS_07,2025,4.0,그렇다
ST_CLASS_07,2025,5.0,매우그렇다
ST_CLASS_08,2021,1.0,전혀 그렇지 않다
ST_CLASS_08,2021,2.0,그렇지 않다
ST_CLASS_08,2021,3.0,보통이다
ST_CLASS_08,2021,4.0,그렇다
ST_CLASS_08,2021,5.0,매우 그렇다
ST_CLASS_08,2025,1.0,전혀그렇지않다
ST_CLASS_08,2025,2.0,그렇지않다
ST_CLASS_08,2025,3.0,보통이다
ST_CLASS_08,2025,4.0,그렇다
ST_CLASS_08,2025,5.0,매우그렇다
ST_CLASS_09,2021,1.0,전혀 그렇지 않다
ST_CLASS_09,2021,2.0,그렇지 않다
ST_CLASS_09,2021,3.0,보통이다
ST_CLASS_09,2021,4.0,그렇다
ST_CLASS_09,2021,5.0,매우 그렇다
ST_CLASS_09,2025,1.0,전혀그렇지않다
ST_CLASS_09,2025,2.0,그렇지않다
ST_CLASS_09,2025,3.0,보통이다
ST_CLASS_09,2025,4.0,그렇다
ST_CLASS_09,2025,5.0,매우그렇다
ST_CLASS_SC_01,2021,1.0,전혀 그렇지 않다
ST_CLASS_SC_01,2021,2.0,그렇지 않다
ST_CLASS_SC_01,2021,3.0,보통이다
ST_CLASS_SC_01,2021,4.0,그렇다
ST_CLASS_SC_01,2021,5.0,매우 그렇다
ST_CLASS_SC_01,2025,1.0,전혀그렇지않다
ST_CLASS_SC_01,2025,2.0,그렇지않다
ST_CLASS_SC_01,2025,3.0,보통이다
ST_CLASS_SC_01,2025,4.0,그렇다
ST_CLASS_SC_01,2025,5.0,매우그렇다
ST_CLASS_SC_02,2021,1.0,전혀 그렇지 않다
ST_CLASS_SC_02,2021,2.0,그렇지 않다
ST_CLASS_SC_02,2021,3.0,보통이다
ST_CLASS_SC_02,2021,4.0,그렇다
ST_CLASS_SC_02,2021,5.0,매우 그렇다
ST_CLASS_SC_02,2025,1.0,전혀그렇지않다
ST_CLASS_SC_02,2025,2.0,그렇지않다
ST_CLASS_SC_02,2025,3.0,보통이다
ST_CLASS_SC_02,2025,4.0,그렇다
ST_CLASS_SC_02,2025,5.0,매우그렇다
ST_ASSESS_02,2021,1.0,전혀 그렇지 않다
ST_ASSESS_02,2021,2.0,그렇지 않다
ST_ASSESS_02,2021,3.0,보통이다
ST_ASSESS_02,2021,4.0,그렇다
ST_ASSESS_02,2021,5.0,매우 그렇다
ST_ASSESS_02,2025,1.0,전혀그렇지않다
ST_ASSESS_02,2025,2.0,그렇지않다
ST_ASSESS_02,2025,3.0,보통이다
ST_ASSESS_02,2025,4.0,그렇다
ST_ASSESS_02,2025,5.0,매우그렇다
ST_ASSESS_03,2021,1.0,전혀 그렇지 않다
ST_ASSESS_03,2021,2.0,그렇지 않다
ST_ASSESS_03,2021,3.0,보통이다
ST_ASSESS_03,2021,4.0,그렇다
ST_ASSESS_03,2021,5.0,매우 그렇다
ST_ASSESS_03,2025,1.0,전혀그렇지않다
ST_ASSESS_03,2025,2.0,그렇지않다
ST_ASSESS_03,2025,3.0,보통이다
ST_ASSESS_03,2025,4.0,그렇다
ST_ASSESS_03,2025,5.0,매우그렇다
ST_ASSESS_04,2021,1.0,전혀 그렇지 않다
ST_ASSESS_04,2021,2.0,그렇지 않다
ST_ASSESS_04,2021,3.0,보통이다
ST_ASSESS_04,2021,4.0,그렇다
ST_ASSESS_04,2021,5.0,매우 그렇다
ST_ASSESS_04,2025,1.0,전혀그렇지않다
ST_ASSESS_04,2025,2.0,그렇지않다
ST_ASSESS_04,2025,3.0,보통이다
ST_ASSESS_04,2025,4.0,그렇다
ST_ASSESS_04,2025,5.0,매우그렇다
ST_DIGI_EDU_01,2021,1.0,전혀 그렇지 않다
ST_DIGI_EDU_01,2021,2.0,그렇지 않다
ST_DIGI_EDU_01,2021,3.0,보통이다
ST_DIGI_EDU_01,2021,4.0,그렇다
ST_DIGI_EDU_01,2021,5.0,매우 그렇다
ST_DIGI_EDU_01,2025,1.0,전혀그렇지않다
ST_DIGI_EDU_01,2025,2.0,그렇지않다
ST_DIGI_EDU_01,2025,3.0,보통이다
ST_DIGI_EDU_01,2025,4.0,그렇다
ST_DIGI_EDU_01,2025,5.0,매우그렇다
ST_DIGI_EDU_02,2021,1.0,전혀 그렇지 않다
ST_DIGI_EDU_02,2021,2.0,그렇지 않다
ST_DIGI_EDU_02,2021,3.0,보통이다
ST_DIGI_EDU_02,2021,4.0,그렇다
