조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드
2025,학부모,10211801,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211802,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211804,1021,PR_EDU_COST_01,20.0,,1.0
2025,학부모,10211805,1021,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10211808,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211809,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211814,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211815,1021,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10211816,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211817,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211820,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211821,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211822,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10231827,1023,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10231828,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231829,1023,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10231830,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231831,1023,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10231832,1023,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10231836,1023,PR_EDU_COST_01,30.0,,1.0
2025,학부모,10231837,1023,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10231840,1023,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10231842,1023,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10231844,1023,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10231846,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231847,1023,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10231848,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231850,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231851,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231853,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231855,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231856,1023,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10231857,1023,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10231859,1023,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10231861,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231862,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231865,1023,PR_EDU_COST_01,,,1.0
2025,학부모,10231866,1023,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10231868,1023,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10231869,1023,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10231870,1023,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10261930,1026,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10261936,1026,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10261941,1026,PR_EDU_COST_01,3.0,,2.0
2025,학부모,10261944,1026,PR_EDU_COST_01,,,2.0
2025,학부모,10261945,1026,PR_EDU_COST_01,2.0,,2.0
2025,학부모,10261955,1026,PR_EDU_COST_01,5.0,,2.0
2025,학부모,10261959,1026,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10261961,1026,PR_EDU_COST_01,,,2.0
2025,학부모,10261962,1026,PR_EDU_COST_01,,,2.0
2025,학부모,10261966,1026,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10261969,1026,PR_EDU_COST_01,,,2.0
2025,학부모,10261973,1026,PR_EDU_COST_01,5.0,,2.0
2025,학부모,10261975,1026,PR_EDU_COST_01,,,2.0
2025,학부모,10261976,1026,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10261979,1026,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10261980,1026,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10261981,1026,PR_EDU_COST_01,5.0,,2.0
2025,학부모,10261983,1026,PR_EDU_COST_01,,,2.0
2025,학부모,10271985,1027,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10271993,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10272001,1027,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10272013,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10272018,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10272019,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10272020,1027,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10272027,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10272029,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10272030,1027,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10272032,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10272037,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10272043,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10272048,1027,PR_EDU_COST_01,,,1.0
2025,학부모,10302161,1030,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10312177,1031,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10312178,1031,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10312180,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312181,1031,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10312182,1031,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10312184,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312185,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312186,1031,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10312187,1031,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10312189,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312198,1031,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10312199,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312201,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312203,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312204,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312205,1031,PR_EDU_COST_01,15.0,,1.0
2025,학부모,10312206,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312209,1031,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10312210,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312211,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312214,1031,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10312218,1031,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10312220,1031,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10312221,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312222,1031,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10312223,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312225,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312230,1031,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10312232,1031,PR_EDU_COST_01,,,1.0
2025,학부모,10312233,1031,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10332251,1033,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10332260,1033,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10332261,1033,PR_EDU_COST_01,2.9,,1.0
2025,학부모,10332273,1033,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10332276,1033,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10332278,1033,PR_EDU_COST_01,,,1.0
2025,학부모,10332279,1033,PR_EDU_COST_01,,,1.0
2025,학부모,10332283,1033,PR_EDU_COST_01,2.9,,1.0
2025,학부모,10332286,1033,PR_EDU_COST_01,,,1.0
2025,학부모,10332289,1033,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10342293,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342294,1034,PR_EDU_COST_01,6.0,,1.0
2025,학부모,10342298,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342301,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342303,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342304,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342307,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342308,1034,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10342309,1034,PR_EDU_COST_01,12.0,,1.0
2025,학부모,10342310,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342311,1034,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10342312,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342314,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342322,1034,PR_EDU_COST_01,,,1.0
2025,학부모,10342330,1034,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10352337,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352341,1035,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10352342,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352344,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352346,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352351,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352353,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352354,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352356,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352361,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352362,1035,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10352367,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352368,1035,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10352369,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352370,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352372,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352374,1035,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10352375,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352376,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352377,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352380,1035,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10352381,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352382,1035,PR_EDU_COST_01,6.0,,1.0
2025,학부모,10352383,1035,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10352384,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352385,1035,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10352387,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352388,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352390,1035,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10352392,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352393,1035,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10352394,1035,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10352396,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10352397,1035,PR_EDU_COST_01,,,1.0
2025,학부모,10362403,1036,PR_EDU_COST_01,,,1.0
2025,학부모,10362439,1036,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10372450,1037,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10372457,1037,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10372458,1037,PR_EDU_COST_01,,,2.0
2025,학부모,10372459,1037,PR_EDU_COST_01,20.0,,2.0
2025,학부모,10372461,1037,PR_EDU_COST_01,3.0,,2.0
2025,학부모,10372463,1037,PR_EDU_COST_01,,,2.0
2025,학부모,10382473,1038,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10382475,1038,PR_EDU_COST_01,4.0,,1.0
2025,학부모,10382476,1038,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10382477,1038,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10382478,1038,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10382482,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382485,1038,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10382486,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382487,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382497,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382499,1038,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10382500,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382501,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382504,1038,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10382505,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382509,1038,PR_EDU_COST_01,,,1.0
2025,학부모,10382510,1038,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10382511,1038,PR_EDU_COST_01,4.0,,1.0
2025,학부모,10382515,1038,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10382519,1038,PR_EDU_COST_01,,,1.0
