조사명,학교급,indicator_id,대분류코드,대분류,소주제코드,소주제,응답주체,지표명,조사연도,주기,코드,응답수,비율,선지라벨
경기학교교육실태조사,중학교,PR_CAREER_13,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 4)사교육종사자(학원강사, 과외교사, 입시진로 컨설팅 회사 등)와 상담",2021,1주기,5.0,218,5.73,매우 도움 된다
경기학교교육실태조사,중학교,PR_CAREER_13,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 4)사교육종사자(학원강사, 과외교사, 입시진로 컨설팅 회사 등)와 상담",2025,2주기,2.0,11,1.12,도움 되지않는다
경기학교교육실태조사,중학교,PR_CAREER_13,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 4)사교육종사자(학원강사, 과외교사, 입시진로 컨설팅 회사 등)와 상담",2025,2주기,3.0,210,21.47,보통이다
경기학교교육실태조사,중학교,PR_CAREER_13,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 4)사교육종사자(학원강사, 과외교사, 입시진로 컨설팅 회사 등)와 상담",2025,2주기,4.0,578,59.1,도움된다
경기학교교육실태조사,중학교,PR_CAREER_13,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 4)사교육종사자(학원강사, 과외교사, 입시진로 컨설팅 회사 등)와 상담",2025,2주기,5.0,179,18.3,매우도움된다
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2021,1주기,1.0,34,1.32,전혀 도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2021,1주기,2.0,251,9.77,도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2021,1주기,3.0,1311,51.01,보통이다
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2021,1주기,4.0,884,34.4,도움 된다
경기학교교육실태조사,중학교,PR_CAREER_14,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2021,1주기,5.0,90,3.5,매우 도움 된다
