조사연도,학교키,지역규모코드,설립구분코드,남녀공학코드,지역규모,설립구분,남녀공학,학생응답,학부모응답,교사응답
2021,SCH156,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH081,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH056,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH058,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH155,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH104,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH174,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH075,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y
2021,SCH025,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH072,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH126,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH137,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH012,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH083,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH180,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH042,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH087,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH055,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH026,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH143,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH024,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH067,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH008,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH030,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH097,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH102,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH028,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH046,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH002,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH016,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH009,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH031,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH015,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH164,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH062,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH004,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH096,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y
2021,SCH146,2.0,1.0,1.0,읍면지역,공립,남학교,Y,Y,Y
2021,SCH074,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH134,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH090,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2021,SCH043,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH060,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH032,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2021,SCH130,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH066,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH113,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH064,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH157,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH054,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH106,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH049,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH165,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH179,1.0,2.0,1.0,중소도시,사립,남학교,N,N,N
2025,SCH131,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH061,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH050,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH123,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH029,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH177,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,N,Y
2025,SCH172,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH098,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH120,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH167,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2025,SCH173,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH154,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH169,1.0,1.0,1.0,중소도시,공립,남학교,Y,Y,Y
2025,SCH088,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH110,2.0,1.0,3.0,읍면지역,공립,남여공학,N,N,N
2025,SCH178,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH107,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
